wavelength,jRGECO1a (calcium saturated) ab,jRGECO1a (calcium free) em,jRGECO1a (calcium free) ex,jRGECO1a (calcium free) 2p,jRGECO1a (calcium saturated) em,jRGECO1a (calcium saturated) ex,jRGECO1a (calcium saturated) 2p
750,,0.0447,,7.663,0.0209,,1.6239
751,,,,7.5686,0.0208,,1.5715
752,,,,7.4742,0.0205,,1.5191
753,,,,7.3495,0.02,,1.4718
754,,,,7.2248,0.0198,,1.4246
755,,,,7.1001,0.0194,,1.3774
756,,,,6.9754,0.019,,1.3302
757,,,,6.8554,0.0189,,1.2979
758,,,,6.7355,0.0193,,1.2657
759,,,,6.6155,0.0193,,1.2335
760,,,,6.4955,0.018,,1.2012
761,,,,6.358,0.0167,,1.1602
762,,,,6.2206,0.0159,,1.1192
763,,,,6.0831,0.0157,,1.0782
764,,,,5.9456,0.0155,,1.0372
765,,,,5.8347,0.0149,,1.0013
766,,,,5.7238,0.014,,0.9655
767,,,,5.6129,,,0.9296
768,,,,5.502,,,0.8937
769,,,,5.3933,,,0.8557
770,,,,5.2847,,,0.8176
771,,,,5.176,,,0.7795
772,,,,5.0674,,,0.7414
773,,,,4.947,,,0.703
774,,,,4.8267,,,0.6647
775,,,,4.7064,,,0.6263
776,,,,4.5861,,,0.5879
777,,,,4.4955,,,0.5543
778,,,,4.405,,,0.5207
779,,,,4.3145,,,0.4871
780,,,,4.2239,,,0.4535
781,,,,4.1215,,,0.4263
782,,,,4.0191,,,0.3992
783,,,,3.9167,,,0.3721
784,,,,3.8143,,,0.345
785,,,,3.7177,,,0.3221
786,,,,3.6211,,,0.2992
787,,,,3.5246,,,0.2763
788,,,,3.428,,,0.2534
789,,,,3.3192,,,0.2355
790,,,,3.2104,,,0.2176
791,,,,3.1016,,,0.1997
792,,,,2.9928,,,0.1818
793,,,,2.8939,,,0.1694
794,,,,2.795,,,0.1571
795,,,,2.6961,,,0.1447
796,,,,2.5972,,,0.1323
797,,,,2.4823,,,0.123
798,,,,2.3675,,,0.1138
799,,,,2.2526,,,0.1045
800,,,,2.1377,,,0.0952
801,,,,2.067,,,0.0894
802,,,,1.9963,,,0.0836
803,,,,1.9255,,,0.0777
804,,,,1.8548,,,0.0719
805,,,,1.7881,,,0.0679
806,,,,1.7213,,,0.0639
807,,,,1.6546,,,0.06
808,,,,1.5878,,,0.056
809,,,,1.5281,,,0.0533
810,,,,1.4683,,,0.0505
811,,,,1.4085,,,0.0478
812,,,,1.3487,,,0.0451
813,,,,1.3003,,,0.0435
814,,,,1.2518,,,0.0419
815,,,,1.2034,,,0.0403
816,,,,1.155,,,0.0387
817,,,,1.1339,,,0.0377
818,,,,1.1128,,,0.0367
819,,,,1.0917,,,0.0357
820,,,,1.0706,,,0.0347
821,,,,1.0455,,,0.0345
822,,,,1.0203,,,0.0343
823,,,,0.9952,,,0.0342
824,,,,0.97,,,0.034
825,,,,0.9393,,,0.0338
826,,,,0.9086,,,0.0336
827,,,,0.8779,,,0.0334
828,,,,0.8472,,,0.0332
829,,,,0.8278,,,0.0335
830,,,,0.8083,,,0.0339
831,,,,0.7889,,,0.0343
832,,,,0.7695,,,0.0346
833,,,,0.7468,,,0.0351
834,,,,0.7242,,,0.0355
835,,,,0.7016,,,0.036
836,,,,0.6789,,,0.0364
837,,,,0.6628,,,0.0371
838,,,,0.6466,,,0.0377
839,,,,0.6304,,,0.0383
840,,,,0.6143,,,0.0389
841,,,,0.6048,,,0.0395
842,,,,0.5953,,,0.0402
843,,,,0.5858,,,0.0409
844,,,,0.5763,,,0.0416
845,,,,0.5687,,,0.0427
846,,,,0.5611,,,0.0439
847,,,,0.5534,,,0.045
848,,,,0.5458,,,0.0461
849,,,,0.5437,,,0.047
850,,,,0.5416,,,0.048
851,,,,0.5395,,,0.0489
852,,,,0.5374,,,0.0498
853,,,,0.5352,,,0.0509
854,,,,0.533,,,0.052
855,,,,0.5308,,,0.0531
856,,,,0.5286,,,0.0542
857,,,,0.5285,,,0.0553
858,,,,0.5284,,,0.0565
859,,,,0.5283,,,0.0576
860,,,,0.5282,,,0.0587
861,,,,0.5267,,,0.0599
862,,,,0.5252,,,0.061
863,,,,0.5236,,,0.0621
864,,,,0.5221,,,0.0633
865,,,,0.5238,,,0.0648
866,,,,0.5255,,,0.0663
867,,,,0.5272,,,0.0679
868,,,,0.5289,,,0.0694
869,,,,0.5278,,,0.0715
870,,,,0.5267,,,0.0736
871,,,,0.5256,,,0.0756
872,,,,0.5245,,,0.0777
873,,,,0.5263,,,0.0797
874,,,,0.5281,,,0.0817
875,,,,0.5299,,,0.0837
876,,,,0.5317,,,0.0857
877,,,,0.5345,,,0.0884
878,,,,0.5373,,,0.0911
879,,,,0.54,,,0.0938
880,,,,0.5428,,,0.0966
881,,,,0.5452,,,0.0987
882,,,,0.5475,,,0.1008
883,,,,0.5499,,,0.103
884,,,,0.5523,,,0.1051
885,,,,0.5555,,,0.1077
886,,,,0.5586,,,0.1103
887,,,,0.5618,,,0.113
888,,,,0.565,,,0.1156
889,,,,0.5669,,,0.1181
890,,,,0.5689,,,0.1206
891,,,,0.5709,,,0.123
892,,,,0.5728,,,0.1255
893,,,,0.5749,,,0.1287
894,,,,0.577,,,0.1319
895,,,,0.5791,,,0.1352
896,,,,0.5813,,,0.1384
897,,,,0.5899,,,0.1431
898,,,,0.5985,,,0.1479
899,,,,0.6072,,,0.1526
900,,,,0.6158,,,0.1574
901,,,,0.6119,,,0.16
902,,,,0.6079,,,0.1627
903,,,,0.6039,,,0.1654
904,,,,0.6,,,0.168
905,,,,0.5974,,,0.1705
906,,,,0.5947,,,0.173
907,,,,0.5921,,,0.1755
908,,,,0.5895,,,0.178
909,,,,0.5885,,,0.1804
910,,,,0.5875,,,0.1829
911,,,,0.5865,,,0.1854
912,,,,0.5854,,,0.1878
913,,,,0.5833,,,0.1897
914,,,,0.5812,,,0.1916
915,,,,0.5791,,,0.1935
916,,,,0.5769,,,0.1954
917,,,,0.5717,,,0.1983
918,,,,0.5665,,,0.2011
919,,,,0.5612,,,0.204
920,,,,0.556,,,0.2068
921,,,,0.5506,,,0.208
922,,,,0.5452,,,0.2091
923,,,,0.5398,,,0.2103
